id_persona,genero,edad,nacionalidad,categoria_municipio,ingresos,actividad
147,otro,51,1,4,4291719,Estudiante
148,otro,61,2,5,14471153,Empleado
149,m,32,2,6,7833532,Empleado
150,m,31,1,3,13555016,Otro
151,f,23,2,5,21833307,Empleado
152,m,54,2,1,7513400,Otro
153,otro,49,2,3,1891117,Ama de casa
154,otro,20,2,2,16719343,Empleado
155,m,20,1,5,10210203,Independiente
156,otro,39,2,2,4547545,Estudiante
157,otro,39,2,3,7651044,Otro
158,m,27,2,5,9792261,Empleado
159,m,20,1,2,12464584,Empleado
160,otro,29,1,4,1559063,Otro
161,otro,46,1,4,21964986,Independiente
162,otro,34,2,1,20151358,Empleado
163,f,24,1,6,9126786,Ama de casa
164,f,30,1,3,2040801,Estudiante
165,f,19,1,6,10102111,Otro
166,m,21,2,6,7831516,Empleado
167,f,27,1,2,9663673,Estudiante
168,m,56,1,1,6619611,Otro
169,m,41,1,3,13901831,Otro
170,f,34,2,4,5340291,Otro
171,f,23,2,6,8315859,Independiente
172,f,36,1,2,17512675,Ama de casa
173,otro,22,1,6,14660844,Otro
174,f,49,1,5,19123943,Independiente
175,otro,27,2,4,11660813,Otro
176,m,26,2,6,10438553,Otro
177,otro,44,1,5,8957300,Independiente
178,f,30,2,5,5980357,Ama de casa
179,m,36,1,2,18563202,Estudiante
180,m,38,2,2,10153184,Empleado
181,m,41,1,5,9385492,Otro
182,otro,55,2,1,7151776,Ama de casa
183,f,21,1,6,8191965,Empleado
184,m,41,2,5,4143939,Otro
185,m,52,1,5,1834731,Empleado
186,m,20,1,2,15422945,Independiente
187,otro,21,1,6,19008675,Ama de casa
188,otro,54,1,3,15854712,Ama de casa
189,f,57,2,4,10067127,Estudiante
190,otro,52,1,2,8057913,Estudiante
191,m,48,2,6,8324074,Empleado
192,f,61,2,6,20512727,Independiente
193,m,42,1,1,10301383,Empleado
194,m,57,1,4,8324007,Otro
195,otro,30,1,2,15954249,Ama de casa
196,f,21,1,2,8007726,Empleado
197,otro,31,2,3,14367693,Empleado
198,otro,30,2,1,21082435,Ama de casa
199,f,44,2,1,5744512,Ama de casa
200,m,23,2,6,5559925,Estudiante
201,m,34,1,6,11567780,Estudiante
202,f,53,2,2,11055239,Ama de casa
203,m,57,1,3,10896339,Empleado
204,f,52,1,2,17189121,Otro
205,f,34,2,5,17219607,Empleado
206,otro,58,2,6,1767705,Otro
207,f,19,2,5,2504784,Ama de casa
208,otro,30,2,3,21131202,Otro
209,m,19,2,2,12327466,Estudiante
210,m,45,2,6,6310675,Ama de casa
211,m,60,1,3,20738338,Independiente
212,m,43,1,2,16854373,Otro
213,otro,39,1,2,19124766,Otro
214,m,60,2,5,5391349,Independiente
215,f,20,1,4,10157750,Independiente
216,f,52,1,1,2707055,Ama de casa
217,f,29,1,6,6307632,Empleado
218,otro,41,1,1,4720735,Independiente
219,m,22,1,3,17947081,Otro
220,m,37,1,1,11824677,Independiente
221,m,56,2,5,18116020,Ama de casa
222,otro,56,2,4,18105868,Ama de casa
223,f,30,2,6,15689623,Otro
224,f,58,1,2,13550485,Otro
225,m,62,2,2,9159993,Otro
226,f,29,2,5,20932268,Empleado
227,f,30,1,6,19148514,Otro
228,otro,27,2,1,4003448,Ama de casa
229,otro,50,1,2,15961711,Ama de casa
230,otro,57,2,1,10742601,Independiente
231,otro,33,1,5,20347925,Otro
232,m,62,1,2,1707618,Empleado
233,otro,52,2,3,2162316,Estudiante
234,f,20,1,4,17744141,Independiente
235,m,22,2,1,7529023,Empleado
236,f,43,1,6,18702286,Otro
237,f,28,2,1,7035751,Empleado
238,f,24,2,1,14007089,Estudiante
239,otro,27,1,1,15579537,Empleado
240,otro,59,2,5,14458826,Estudiante
241,m,51,2,5,16419983,Estudiante
242,m,20,2,6,2132226,Estudiante
243,otro,25,1,5,6817062,Empleado
244,f,48,1,6,20274335,Otro
245,m,28,2,6,19342581,Ama de casa
246,otro,62,2,5,2544291,Ama de casa
247,otro,24,1,2,14862324,Empleado
248,otro,62,1,5,17482284,Otro
249,f,19,2,2,18144747,Ama de casa
250,otro,23,1,3,8409808,Estudiante
251,otro,58,1,5,19969249,Empleado
252,otro,49,2,3,2023296,Empleado
253,otro,37,1,5,17363374,Independiente
254,m,51,1,3,2236422,Independiente
255,m,33,1,4,4637942,Independiente
256,otro,42,2,3,11156939,Otro
257,f,29,1,2,5873450,Empleado
258,m,24,2,1,21361902,Independiente
259,otro,56,1,6,18192276,Empleado
260,m,34,1,3,5444946,Estudiante
261,m,62,2,1,16831043,Independiente
262,f,28,2,4,17347968,Empleado
263,otro,23,2,4,12651412,Otro
264,otro,40,2,2,12500050,Otro
265,f,44,1,2,19298679,Otro
266,f,23,2,3,9025515,Independiente
267,otro,55,2,5,6454264,Otro
268,otro,19,2,4,7538951,Ama de casa
269,f,39,1,1,11930403,Estudiante
270,m,37,1,5,20651092,Empleado
271,m,42,2,4,1564406,Ama de casa
272,f,32,2,3,8602683,Independiente
273,m,46,2,4,5355949,Empleado
274,f,25,2,2,15718671,Empleado
275,m,54,1,1,17707908,Otro
276,m,50,2,1,14006202,Empleado
277,otro,39,1,2,2251849,Empleado
278,otro,22,2,5,16707232,Estudiante
279,m,56,2,2,18233613,Independiente
280,m,35,1,1,21099986,Ama de casa
281,otro,55,2,3,11095503,Otro
282,otro,54,2,5,6256754,Estudiante
283,otro,47,2,6,7681185,Ama de casa
284,f,48,2,4,1501508,Ama de casa
285,m,27,1,6,5684600,Estudiante
286,otro,32,2,3,19457566,Otro
287,m,59,2,6,7548473,Independiente
288,f,61,1,5,13234185,Estudiante
289,f,35,2,1,9454721,Estudiante
290,otro,40,1,1,11575280,Estudiante
291,f,50,2,3,2220039,Otro
292,m,33,2,6,15785200,Estudiante
293,otro,55,2,5,12811388,Estudiante
294,m,52,1,4,10749606,Empleado
295,m,51,1,6,9590427,Empleado
296,f,45,2,6,14732392,Empleado
297,f,19,1,4,14697831,Empleado
298,f,47,2,2,7342705,Estudiante
299,f,30,1,3,9329440,Empleado
300,f,58,2,5,12253657,Ama de casa
301,otro,33,1,3,11366402,Independiente
302,m,22,2,4,3006054,Empleado
303,m,45,1,5,17943407,Otro
304,m,56,1,1,5278727,Independiente
305,m,62,1,1,11325196,Ama de casa
306,f,37,1,5,4780941,Independiente
307,m,41,2,3,8126231,Independiente
308,otro,44,2,3,13917181,Ama de casa
309,otro,47,1,1,5456252,Empleado
310,m,62,2,1,4286185,Ama de casa
311,m,44,1,4,12453623,Otro
312,otro,43,2,5,14905560,Ama de casa
313,otro,24,1,3,16107680,Estudiante
314,f,59,2,4,21541924,Estudiante
315,otro,55,2,3,6306427,Independiente
316,f,22,1,1,9058300,Empleado
317,f,40,1,5,14692142,Empleado
318,f,45,1,2,6970066,Estudiante
319,f,51,1,5,11435681,Otro
320,f,32,1,6,11583984,Ama de casa
321,m,49,2,2,10052371,Ama de casa
322,otro,43,1,4,7758833,Ama de casa
323,f,48,2,2,17248132,Otro
324,otro,36,1,2,9229992,Otro
325,otro,26,2,4,6943807,Ama de casa
326,f,46,2,5,19519451,Ama de casa
327,m,56,1,4,17809070,Otro
328,f,21,1,6,3340858,Ama de casa
329,m,20,2,1,17918050,Otro
330,otro,46,2,1,5237859,Independiente
331,m,28,1,2,8827238,Estudiante
332,m,50,2,4,13199556,Estudiante
333,m,55,2,4,4686818,Otro
334,otro,28,2,4,15599712,Ama de casa
335,otro,44,2,6,8110770,Estudiante
336,m,50,2,6,3970640,Empleado
337,m,38,2,5,12353315,Ama de casa
338,f,56,1,3,5756659,Otro
339,m,48,1,3,4173540,Empleado
340,f,55,1,3,5736939,Otro
341,m,19,1,5,13519332,Ama de casa
342,f,44,2,4,15416689,Independiente
343,otro,53,1,3,18410100,Independiente
344,m,28,2,4,21727668,Independiente
345,m,35,2,2,7261485,Ama de casa
346,m,18,1,3,9612768,Ama de casa
347,m,52,1,2,6944495,Empleado
348,f,52,2,5,9489341,Ama de casa
349,m,48,1,1,15965942,Ama de casa
350,otro,45,1,6,5297044,Empleado
351,otro,56,2,5,7166142,Empleado
352,m,18,2,5,9265190,Otro
353,otro,42,2,5,9458070,Estudiante
354,m,60,2,3,11569869,Estudiante
355,m,55,2,2,15867447,Otro
356,otro,37,2,6,2776970,Independiente
357,m,20,1,3,14804373,Ama de casa
358,otro,19,1,1,14047495,Empleado
359,f,35,1,6,20137285,Empleado
360,m,61,2,5,3885396,Independiente
361,f,27,2,4,6079888,Empleado
362,otro,22,1,1,8167008,Independiente
363,f,26,1,2,17847996,Otro
364,f,19,1,1,2548180,Independiente
365,otro,51,2,3,11964678,Estudiante
366,f,55,1,4,15052960,Independiente
367,f,48,1,3,18793386,Otro
368,otro,27,1,6,16664174,Independiente
369,f,29,2,5,12961536,Otro
370,otro,53,1,5,16429552,Estudiante
371,f,38,1,1,7784844,Ama de casa
372,otro,23,2,5,9015387,Otro
373,otro,20,2,5,16961745,Ama de casa
374,f,27,2,6,13681415,Otro
375,f,22,2,2,12726546,Independiente
376,f,43,2,2,2414072,Ama de casa
377,m,38,1,3,19464318,Otro
378,m,62,1,3,11979895,Otro
379,m,43,2,2,12859035,Ama de casa
380,otro,55,2,1,11528984,Otro
381,f,61,2,2,7037368,Ama de casa
382,otro,43,2,3,2782898,Estudiante
383,m,25,1,4,13023836,Empleado
384,f,22,1,5,3994846,Estudiante
385,otro,32,2,6,5607127,Ama de casa
386,f,33,2,4,12744415,Independiente
387,otro,18,2,4,11291769,Independiente
388,f,33,2,5,10481152,Empleado
389,m,54,1,2,8307227,Ama de casa
390,m,20,2,1,15294371,Otro
391,f,48,2,4,21325265,Estudiante
392,otro,30,1,1,15519478,Estudiante
393,m,33,2,6,8095778,Empleado
394,m,60,1,6,19917308,Empleado
395,m,38,2,6,18478034,Empleado
396,f,19,2,3,6543116,Empleado
397,f,44,1,4,17784635,Empleado
398,otro,55,2,6,17220100,Empleado
399,otro,43,1,3,10336472,Otro
400,otro,55,1,6,7860169,Otro
401,f,42,1,2,11081083,Estudiante
402,f,28,2,4,19224415,Estudiante
403,otro,25,2,3,10124659,Empleado
404,otro,25,1,6,18634571,Estudiante
405,f,50,2,3,7274493,Empleado
406,otro,24,2,6,12734843,Otro
407,m,55,2,2,9905043,Independiente
408,f,38,1,1,21754818,Otro
409,otro,25,1,6,6180499,Ama de casa
410,f,38,2,1,15265280,Otro
411,m,37,1,4,17410340,Ama de casa
412,f,25,2,2,19694148,Estudiante
413,f,48,2,4,8789210,Otro
414,f,46,2,1,5625304,Independiente
415,f,26,1,2,15053794,Otro
416,m,32,1,5,4445721,Otro
417,f,47,2,2,1531407,Otro
418,f,43,1,2,13530949,Empleado
419,otro,27,2,5,7121159,Otro
420,f,46,1,3,15180678,Otro
421,otro,33,1,3,13305213,Independiente
422,m,53,1,3,10347904,Ama de casa
423,m,37,2,1,21917461,Ama de casa
424,m,62,2,2,4183524,Independiente
425,m,54,2,6,13043038,Estudiante
426,otro,39,1,5,4390748,Otro
427,f,24,2,6,2612497,Estudiante
428,m,40,2,1,14178356,Independiente
429,f,58,2,5,8188319,Estudiante
430,otro,57,2,6,21779149,Ama de casa
431,otro,46,1,1,7289595,Empleado
432,otro,33,1,1,14074037,Estudiante
433,m,55,2,1,20798858,Empleado
434,f,45,1,5,21272860,Estudiante
435,f,55,1,6,13294765,Independiente
436,f,48,1,6,8964141,Empleado
437,otro,31,1,4,10883607,Estudiante
438,m,50,1,1,2997570,Independiente
439,otro,26,2,3,11216083,Ama de casa
440,otro,44,1,2,20076558,Otro
441,f,41,2,4,4782174,Independiente
442,otro,30,2,4,21048691,Independiente
443,f,43,2,5,14842971,Ama de casa
444,m,46,1,4,17855735,Empleado
445,f,60,1,6,11952107,Estudiante
446,m,45,1,5,11933878,Empleado
447,f,45,1,5,12687550,Independiente
448,otro,25,2,3,5458889,Estudiante
449,otro,40,2,1,10808805,Otro
450,m,46,2,4,2488597,Otro
451,m,22,1,1,15521596,Estudiante
452,m,59,2,1,17318822,Independiente
453,f,24,2,1,14096074,Ama de casa
454,f,59,2,5,16087168,Empleado
455,m,53,1,1,13578077,Empleado
456,otro,58,2,4,8968496,Ama de casa
457,f,44,2,5,15106350,Ama de casa
458,f,19,1,4,12560096,Otro
459,f,42,2,5,10225160,Ama de casa
460,m,26,1,2,18231012,Estudiante
461,m,44,2,2,21766327,Otro
462,m,18,1,2,21281288,Independiente
463,m,40,1,2,17583748,Otro
464,m,27,1,5,14816832,Otro
465,otro,59,2,1,3164888,Empleado
466,otro,42,2,3,3341912,Ama de casa
467,m,20,1,6,8726524,Estudiante
468,f,23,1,3,6071977,Ama de casa
469,m,23,1,2,14001590,Empleado
470,otro,19,1,1,20226262,Ama de casa
471,otro,35,1,4,13549958,Estudiante
472,f,40,1,1,5170256,Ama de casa
473,otro,19,1,4,10370157,Empleado
474,m,29,1,3,5895155,Estudiante
475,f,39,1,1,3800305,Ama de casa
476,m,54,1,1,5283851,Empleado
477,m,37,1,6,9601633,Empleado
478,f,56,1,3,10354127,Otro
479,m,41,2,1,5282970,Estudiante
480,otro,37,1,4,16395033,Estudiante
481,m,18,2,1,6026445,Ama de casa
482,f,18,2,4,8691023,Otro
483,f,34,2,2,6762488,Estudiante
484,f,18,1,1,9402231,Empleado
485,m,62,2,4,18477649,Estudiante
486,f,47,1,3,4932954,Otro
487,f,58,2,2,19821966,Independiente
488,m,20,1,1,8540167,Empleado
489,otro,28,1,6,16059697,Estudiante
490,m,41,2,4,12844620,Empleado
491,f,39,2,6,4762335,Ama de casa
492,f,61,1,1,19753032,Empleado
493,m,62,2,4,4467699,Estudiante
494,otro,43,1,1,3763102,Ama de casa
495,f,30,1,2,4556948,Ama de casa
496,f,18,1,2,6809747,Ama de casa
497,f,41,2,1,3737659,Independiente
498,m,27,1,1,16321247,Independiente
499,f,52,1,5,13896998,Ama de casa
500,otro,41,1,1,21167813,Estudiante
501,f,45,1,1,7406336,Ama de casa
502,f,53,2,6,3167188,Ama de casa
503,otro,33,2,6,17721104,Empleado
504,f,57,2,2,10290314,Empleado
505,m,33,2,6,1554777,Empleado
506,m,34,1,1,10125262,Otro
507,m,32,1,3,19032941,Empleado
508,otro,33,1,1,20153446,Empleado
509,f,32,1,5,5482107,Estudiante
510,m,51,1,4,15676167,Independiente
511,otro,28,1,2,13016614,Independiente
512,f,18,2,6,14978546,Independiente
513,otro,32,1,3,10796967,Otro
514,m,43,1,4,1483216,Ama de casa
515,m,21,1,3,6215291,Empleado
516,m,60,2,2,19511145,Estudiante
517,otro,22,1,6,3918202,Otro
518,otro,52,1,5,3944880,Independiente
519,m,30,1,2,7137078,Otro
520,otro,27,2,3,5948946,Estudiante
521,m,28,1,3,9018937,Otro
522,m,35,1,2,10216541,Independiente
523,f,51,2,1,15026514,Ama de casa
524,otro,56,1,2,20292390,Independiente
525,m,58,2,6,5123561,Independiente
526,m,59,1,6,6387197,Independiente
527,otro,40,2,5,4939951,Otro
528,f,24,1,2,11645528,Estudiante
529,f,56,1,4,8365959,Independiente
530,m,20,2,6,3446715,Otro
531,otro,29,1,6,7094471,Estudiante
532,f,24,1,6,2622968,Ama de casa
533,otro,43,2,1,10879485,Independiente
534,otro,50,1,4,9558632,Empleado
535,m,54,2,2,18454747,Otro
536,f,32,1,1,8306853,Ama de casa
537,m,19,2,6,13238453,Ama de casa
538,f,58,1,4,10509727,Ama de casa
539,f,24,1,4,10823292,Otro
540,f,49,2,1,16982555,Estudiante
541,f,21,1,6,12007777,Empleado
542,f,37,2,1,16563706,Estudiante
543,otro,53,2,3,3459991,Independiente
544,m,49,2,6,15216865,Empleado
545,otro,45,1,1,16654194,Estudiante
546,f,30,1,2,19128436,Independiente
547,m,18,1,6,8977830,Empleado
548,f,52,2,5,20214881,Otro
549,m,47,2,6,20033197,Independiente
550,otro,53,2,3,1792199,Estudiante
551,m,42,1,1,4004108,Empleado
552,m,33,2,5,14052320,Independiente
553,m,36,1,3,8347151,Independiente
554,m,18,1,2,6702410,Otro
555,m,22,1,6,7009401,Independiente
556,f,39,1,5,9424565,Empleado
557,m,41,1,1,2555628,Ama de casa
558,m,60,1,1,21615020,Empleado
559,otro,62,1,2,12778637,Empleado
560,m,54,1,3,12594361,Otro
561,otro,53,2,5,21807353,Otro
562,f,53,1,2,11939142,Independiente
563,m,21,1,3,2117961,Otro
564,otro,53,2,4,6000277,Independiente
565,otro,35,2,4,14439803,Ama de casa
566,f,33,2,3,5782742,Estudiante
567,m,58,2,1,13180992,Otro
568,m,35,1,1,9425974,Otro
569,otro,39,2,4,20537753,Ama de casa
570,m,19,2,1,7361831,Otro
571,otro,38,2,1,19187863,Ama de casa
572,m,53,2,3,17550363,Independiente
573,otro,61,1,6,9424326,Otro
574,m,56,2,3,11950731,Otro
575,f,56,2,1,8195160,Independiente
576,m,46,2,3,9029574,Otro
577,m,43,2,5,17682170,Empleado
578,f,38,1,4,4466276,Ama de casa
579,m,34,2,6,11082697,Estudiante
580,f,33,2,5,21225668,Empleado
581,m,48,2,5,7426155,Estudiante
582,otro,26,1,1,10006494,Empleado
583,otro,48,2,1,6192767,Empleado
584,m,31,2,5,6155529,Empleado
585,m,54,1,5,21496585,Ama de casa
586,m,19,2,2,13150355,Estudiante
587,otro,31,1,2,7988943,Independiente
588,m,50,1,4,16180133,Independiente
589,otro,52,2,5,7108443,Otro
590,f,56,2,3,17051700,Ama de casa
591,otro,37,1,6,18357654,Ama de casa
592,otro,19,1,2,20971901,Ama de casa
593,f,58,2,1,15014066,Empleado
594,otro,36,1,5,17893704,Ama de casa
595,m,54,1,3,16431462,Independiente
596,m,35,2,6,19616316,Ama de casa
597,otro,33,1,3,5129779,Empleado
598,m,21,1,3,8042441,Estudiante
599,otro,29,1,1,10377580,Ama de casa
600,m,46,1,2,1977999,Estudiante
601,m,24,1,3,21501586,Otro
602,otro,31,1,6,12611729,Empleado
603,m,29,2,2,13408074,Ama de casa
604,otro,52,1,4,11415863,Otro
605,m,22,2,1,10351684,Otro
606,m,34,2,2,1998343,Estudiante
607,f,59,2,2,11498659,Independiente
608,f,49,2,3,10280256,Independiente
609,otro,27,2,6,13337551,Independiente
610,f,60,2,3,16058087,Independiente
611,otro,34,2,6,3412645,Empleado
612,f,22,2,1,17806029,Ama de casa
613,m,62,1,2,19073110,Ama de casa
614,otro,59,2,5,7383445,Empleado
615,otro,26,2,6,6451342,Estudiante
616,m,50,2,6,6482129,Ama de casa
617,otro,53,1,3,7444215,Otro
618,otro,53,2,3,2796716,Ama de casa
619,f,35,1,4,5697760,Empleado
620,otro,26,2,6,1488783,Estudiante
621,m,46,2,1,7548694,Ama de casa
622,f,31,1,2,11841221,Empleado
623,f,42,2,2,10091117,Otro
624,m,32,1,2,21317539,Independiente
625,m,23,1,6,2326261,Otro
626,f,59,2,3,18889079,Otro
627,otro,46,2,1,18538747,Estudiante
628,f,32,1,2,9891550,Ama de casa
629,m,46,1,6,15724776,Independiente
630,f,21,2,5,9809445,Empleado
631,m,35,2,4,8633795,Independiente
632,f,61,2,4,21678339,Ama de casa
633,otro,56,1,2,19937533,Estudiante
634,f,33,2,3,15535858,Ama de casa
635,f,28,1,4,21400724,Empleado
636,m,31,2,4,17218052,Independiente
637,m,20,1,4,11100327,Otro
638,m,59,1,4,11524869,Ama de casa
639,f,55,2,2,6564254,Estudiante
640,otro,62,1,6,4829936,Estudiante
641,m,59,1,1,6601974,Independiente
642,m,35,1,1,2724775,Otro
643,f,37,1,3,19047310,Empleado
644,m,42,1,6,6663831,Otro
645,otro,55,2,5,12489573,Independiente
646,otro,30,2,1,15982576,Otro
647,m,21,1,5,5490133,Independiente
648,m,31,2,1,20281781,Otro
649,f,50,1,1,3243407,Ama de casa
650,otro,45,1,3,18313310,Estudiante
651,otro,54,2,4,9081379,Independiente
652,m,25,1,3,13170394,Independiente
653,f,61,1,1,6627954,Estudiante
654,otro,51,1,6,21820010,Empleado
655,otro,61,2,4,3784386,Independiente
656,f,22,2,6,11669070,Ama de casa
657,f,22,1,6,15633860,Otro
658,otro,48,1,6,6087763,Ama de casa
659,otro,62,1,4,12687233,Independiente
660,f,26,1,6,18914142,Empleado
661,otro,59,1,4,1876104,Independiente
662,m,49,2,5,16267959,Empleado
663,m,50,2,1,10761119,Estudiante
664,f,20,2,2,19091208,Otro
665,f,47,2,6,5614180,Ama de casa
666,f,29,1,3,16115810,Empleado
667,m,46,1,5,21087147,Ama de casa
668,otro,20,2,3,21224233,Estudiante
669,m,43,2,2,10447868,Independiente
670,otro,47,1,4,21612189,Empleado
671,m,26,2,2,9655275,Otro
672,otro,43,1,3,7238263,Empleado
673,m,19,1,2,12867717,Independiente
674,f,20,1,1,12010243,Independiente
675,m,21,2,2,10053019,Otro
676,otro,42,2,6,19893982,Otro
677,m,30,2,1,1649218,Estudiante
678,m,56,2,6,19528683,Ama de casa
679,m,61,2,2,21492025,Empleado
680,f,52,1,1,13832955,Estudiante
681,m,40,2,1,13351608,Ama de casa
682,f,26,1,2,8391031,Estudiante
683,f,19,1,5,13705581,Otro
684,m,58,1,4,12883215,Otro
685,m,61,2,4,19127796,Independiente
686,m,48,2,4,2844261,Empleado
687,otro,61,2,1,5783625,Empleado
688,m,19,2,4,16057037,Empleado
689,f,49,2,1,16554565,Estudiante
690,m,35,2,5,7642343,Estudiante
691,otro,30,2,2,1888802,Empleado
692,m,22,2,2,8277523,Independiente
693,otro,59,1,1,9990778,Ama de casa
694,otro,61,2,1,2880668,Estudiante
695,m,27,1,5,13605562,Empleado
696,f,60,1,4,9490932,Otro
697,otro,42,1,5,12704390,Estudiante
698,m,51,1,2,5186318,Ama de casa
699,m,54,2,2,20921180,Estudiante
700,f,47,2,6,9128346,Ama de casa
701,otro,24,1,4,8961437,Ama de casa
702,otro,23,1,2,5590510,Estudiante
703,m,20,1,6,4947177,Ama de casa
704,m,30,2,1,2183669,Estudiante
705,f,20,1,2,16361533,Estudiante
706,f,43,1,3,8359503,Independiente
